iter	MultiClass
0	3.383391254
1	3.231444504
2	3.111266364
3	3.007452364
4	2.921079815
5	2.843528012
6	2.784208467
7	2.72293278
8	2.672465322
9	2.622144207
10	2.580941837
11	2.542339576
12	2.504041881
13	2.46600423
14	2.434876868
15	2.402186108
16	2.368246597
17	2.334812144
18	2.301579894
19	2.268754693
20	2.243609984
21	2.217657648
22	2.191716362
23	2.165692788
24	2.146834753
25	2.123624666
26	2.098710915
27	2.080155566
28	2.061470744
29	2.044010645
30	2.027540018
31	2.007029155
32	1.989813918
33	1.968516229
34	1.954020879
35	1.93543719
36	1.916129815
37	1.898449254
38	1.880725367
39	1.864927324
40	1.84945827
41	1.8347384
42	1.82098927
43	1.805991743
44	1.792351952
45	1.781107344
46	1.768750067
47	1.759294026
48	1.747854488
49	1.735949348
50	1.72220742
51	1.71115099
52	1.701070658
53	1.690905624
54	1.681154221
55	1.670446409
56	1.661168481
57	1.652645677
58	1.64339656
59	1.636081923
60	1.628273217
61	1.619336507
62	1.613241799
63	1.604569707
64	1.596002574
65	1.5885894
66	1.582645749
67	1.574016987
68	1.564501432
69	1.55829409
70	1.550843667
71	1.541840204
72	1.537181828
73	1.528786874
74	1.522530923
75	1.517114299
76	1.511319647
77	1.502884105
78	1.496785198
79	1.489604363
80	1.48387359
81	1.47768117
82	1.473441947
83	1.46856685
84	1.462413904
85	1.457661782
86	1.453244706
87	1.446671431
88	1.439423396
89	1.43383676
90	1.430430541
91	1.427037547
92	1.423882525
93	1.41975387
94	1.413836748
95	1.410610684
96	1.406019296
97	1.403190815
98	1.399655764
99	1.397051398
100	1.392011137
101	1.386999133
102	1.384487683
103	1.381507494
104	1.376044557
105	1.371596163
106	1.36776302
107	1.363355787
108	1.36049816
109	1.356796017
110	1.353311907
111	1.350324053
112	1.347683007
113	1.343625027
114	1.341563831
115	1.339381558
116	1.334856052
117	1.333035598
118	1.330715397
119	1.327713229
120	1.32514823
121	1.322468508
122	1.320162984
123	1.316789316
124	1.313548473
125	1.311633804
126	1.309759078
127	1.308056653
128	1.305753041
129	1.303411573
130	1.300547939
131	1.297753549
132	1.296553716
133	1.29417397
134	1.291815727
135	1.290109957
136	1.289034455
137	1.287917238
138	1.285692862
139	1.282682296
140	1.279551661
141	1.277528636
142	1.276008346
143	1.274775465
144	1.272745197
145	1.271530485
146	1.268615944
147	1.26713251
148	1.265181679
149	1.26362598
150	1.261719105
151	1.258928185
152	1.257238032
153	1.255466723
154	1.253991576
155	1.251772541
156	1.249879333
157	1.247128964
158	1.246052456
159	1.244203195
160	1.242741063
161	1.241410197
162	1.239499961
163	1.237232349
