iter	Passed	Remaining
0	446	614705
1	805	554522
2	1204	552135
3	1464	503128
4	1770	486123
5	2012	460305
6	2338	457988
7	2573	440714
8	2807	427078
9	3044	416437
10	3326	413383
11	3588	408520
12	3827	401857
13	4065	396143
14	4305	391222
15	4577	389647
16	4815	385498
17	5053	381819
18	5293	378599
19	5570	378247
20	5805	375119
21	6045	372628
22	6281	370088
23	6561	370158
24	6798	367925
25	7035	365838
26	7274	363975
27	7555	364299
28	7790	362401
29	8031	360879
30	8280	359789
31	8560	360058
32	8794	358460
33	9041	357390
34	9279	356084
35	9561	356429
36	9800	355184
37	10044	354202
38	10285	353150
39	10569	353565
40	10808	352446
41	11046	351372
42	11283	350305
43	11564	350612
44	11807	349763
45	12051	348978
46	12291	348097
47	12570	348306
48	12820	347716
49	13059	346849
50	13298	346017
51	13576	346210
52	13818	345463
53	14058	344689
54	14372	345732
55	14851	350611
56	15191	352067
57	15519	353193
58	15804	353324
59	16114	353989
60	16382	353704
61	16666	353766
62	16924	353263
63	17228	353713
64	17578	355094
65	17857	354992
66	18108	354322
67	18390	354279
68	18736	355448
69	18989	354826
70	19273	354799
71	19605	355615
72	19877	355337
73	20239	356655
74	20515	356420
75	20817	356631
76	21190	358041
77	21514	358574
78	21780	358131
79	22041	357620
80	22319	357380
81	22775	359957
82	23205	362063
83	23474	361618
84	23836	362598
85	24142	362695
86	24610	365201
87	24880	364721
88	25139	364097
89	25533	365406
90	25834	365378
91	26091	364707
92	26336	363893
93	26691	364598
94	26933	363745
95	27196	363181
96	27534	363629
97	27790	362975
98	28045	362324
99	28337	362157
100	28643	362159
101	28910	361662
102	29258	362174
103	29541	361886
104	29796	361243
105	30073	360878
106	30345	360454
107	30788	362048
108	31167	362858
109	31517	363305
110	31814	363148
111	32124	363122
112	32459	363371
113	32758	363217
114	33148	364052
115	33507	364539
116	33877	365126
117	34211	365314
118	34528	365309
119	34892	365792
120	35234	366029
121	35576	366259
122	35912	366425
123	36260	366694
124	36638	367264
125	36993	367581
126	37344	367859
127	37704	368204
128	38026	368175
129	38362	368284
130	38720	368583
131	39040	368519
132	39391	368739
133	39748	369004
134	40089	369122
135	40361	368592
136	40688	368572
137	40993	368345
138	41410	369116
139	41693	368691
140	41962	368139
141	42282	368036
142	42790	369552
143	43390	371832
144	43710	371686
145	43969	371033
146	44252	370574
147	44503	369860
148	44789	369440
149	45035	368690
150	45288	368007
151	45537	367295
152	45848	367087
153	46121	366572
154	46376	365922
155	46657	365483
156	46946	365103
157	47208	364523
158	47590	364862
159	47883	364510
160	48163	364066
161	48585	364687
162	48979	365095
163	49233	364448
164	49565	364379
165	49964	364799
166	50373	365284
167	50743	365472
168	51124	365737
169	51519	366090
170	51896	366310
171	52189	365934
172	52454	365364
173	52744	364964
174	53134	365261
175	53499	365374
176	53934	365963
177	54277	365916
178	54607	365776
179	54969	365854
180	55294	365676
181	55547	365025
182	55860	364770
183	56245	364986
184	56603	365018
185	56964	365065
186	57318	365058
187	57905	366529
188	58231	366335
189	58500	365782
190	58811	365492
191	59114	365157
192	59482	365213
193	60048	366478
194	60400	366429
195	60690	365999
196	61003	365708
197	61376	365782
198	61700	365552
199	61998	365168
200	62299	364809
201	62556	364191
202	63040	364886
203	63555	365756
204	64091	366730
205	64588	367465
206	65101	368279
207	65357	367636
208	65620	367036
209	66079	367526
210	66580	368245
211	67087	368980
212	67369	368474
213	67645	367939
214	67900	367294
215	68216	366978
216	68471	366340
217	68731	365727
218	69006	365199
219	69264	364584
220	69515	363932
221	69781	363367
222	70056	362848
223	70309	362221
224	70555	361558
225	70811	360952
226	71098	360502
227	71348	359871
228	71602	359262
229	71851	358632
230	72130	358152
231	72380	357533
232	72639	356962
233	72891	356359
234	73175	355914
235	73464	355492
236	73780	355203
237	74029	354593
238	74322	354197
239	74568	353576
240	74822	353000
241	75078	352436
242	75359	351988
243	75609	351397
244	75864	350835
245	76148	350406
246	76399	349831
247	76648	349243
248	76903	348688
249	77183	348253
250	77430	347667
251	77675	347074
252	77934	346544
253	78216	346125
254	78465	345557
255	78720	345017
256	78974	344475
257	79250	344032
258	79499	343473
259	79758	342959
260	80028	342498
261	80330	342169
262	80583	341635
263	80864	341222
264	81122	340715
265	81412	340342
266	81662	339801
267	81922	339304
268	82172	338771
269	82449	338349
270	82700	337819
271	82956	337315
272	83265	337025
273	83519	336514
274	83786	336061
275	84043	335563
276	84321	335154
277	84573	334645
278	84835	334172
279	85091	333679
280	85373	333290
281	85625	332786
282	85894	332346
283	86144	331837
284	86436	331492
285	86682	330969
286	86939	330492
287	87189	329987
288	87479	329636
289	87727	329129
290	87989	328675
291	88240	328181
292	88526	327819
293	88774	327319
294	89031	326852
295	89282	326363
296	89566	325997
297	89817	325514
298	90075	325053
299	90354	324674
300	90612	324219
301	90862	323735
302	91119	323280
303	91574	323524
304	91895	323291
305	92225	323091
306	92540	322838
307	92864	322612
308	93259	322635
309	93510	322159
310	93800	321815
311	94096	321495
312	94350	321032
313	94610	320591
314	94884	320196
315	95165	319829
316	95477	319564
317	95738	319128
318	96009	318728
319	96285	318345
320	96585	318041
321	96846	317607
322	97121	317222
323	97387	316809
324	97697	316539
325	97967	316140
326	98255	315798
327	98564	315525
328	98836	315134
329	99100	314718
330	99357	314283
331	99663	313999
332	99932	313603
333	100204	313214
334	100463	312787
335	100768	312502
336	101038	312111
337	101953	313701
338	102194	313215
339	102476	312855
340	102718	312372
341	102973	311932
342	103217	311457
343	103493	311081
344	103739	310618
345	104022	310262
346	104267	309797
347	104546	309432
348	104792	308972
349	105047	308540
350	105318	308155
351	105562	307691
352	105810	307241
353	106067	306817
354	106348	306464
355	106599	306025
356	106845	305571
357	107101	305149
358	107376	304782
359	107658	304434
360	107959	304140
361	108211	303709
362	108497	303374
363	108745	302934
364	108998	302507
365	109250	302079
366	109545	301771
367	109796	301342
368	110052	300930
369	110303	300502
370	110593	300181
371	110842	299750
372	111109	299370
373	111358	298940
374	111650	298626
375	111904	298213
376	112164	297816
377	112415	297395
378	112699	297062
379	112986	296737
380	113271	296408
381	113581	296143
382	113824	295705
383	114079	295298
384	114325	294871
385	114602	294521
386	114846	294089
387	115106	293698
388	115352	293273
389	115639	292952
390	115893	292550
391	116161	292181
392	116424	291801
393	116713	291488
394	116966	291084
395	117239	290729
396	117491	290325
397	117779	290011
398	118036	289618
399	118295	289231
400	118541	288816
401	118830	288504
402	119080	288097
403	119339	287714
404	119584	287298
405	119866	286971
406	120110	286553
407	120379	286195
408	120624	285781
409	120909	285465
410	121153	285050
411	121408	284660
412	121674	284299
413	121938	283935
414	122192	283546
415	122458	283184
416	122761	282910
417	123051	282606
418	123317	282247
419	123567	281851
420	123867	281571
421	124119	281181
422	124386	280824
423	124642	280444
424	124927	280132
425	125173	279729
426	125434	279363
427	125679	278962
428	125960	278639
429	126208	278244
430	126464	277870
431	126723	277499
432	127005	277181
433	127257	276799
434	127559	276525
435	127816	276153
436	128100	275840
437	128360	275477
438	128641	275157
439	128926	274847
440	129175	274461
441	129433	274094
442	129687	273719
443	129970	273406
444	130223	273029
445	130486	272675
446	130738	272298
447	131024	271992
448	131282	271628
449	131545	271276
450	131793	270891
451	132076	270581
452	132323	270196
453	132583	269838
454	132833	269461
455	133132	269183
456	133399	268841
457	133687	268543
458	133940	268172
459	134229	267874
460	134479	267500
461	134739	267145
462	134996	266786
463	135275	266469
464	135526	266098
465	135794	265761
466	136083	265464
467	136349	265124
468	136599	264753
469	136863	264408
470	137145	264100
471	137394	263726
472	137648	263366
473	137902	263003
474	138273	262865
475	138524	262498
476	138783	262146
477	139034	261780
478	139321	261482
479	139566	261105
480	139831	260767
481	140085	260408
482	140382	260129
483	140633	259765
484	140923	259474
485	141200	259158
486	141470	258830
487	141727	258477
488	141995	258147
489	142283	257851
490	142535	257492
491	142813	257179
492	143071	256833
493	143363	256545
494	143616	256188
495	143880	255851
496	144138	255505
497	144427	255212
498	144674	254847
499	144942	254518
500	145223	254214
501	145508	253914
502	145758	253556
503	146018	253214
504	146272	252863
505	146564	252577
506	146815	252222
507	147084	251896
508	147335	251540
509	147617	251238
510	147870	250888
511	148160	250599
512	148452	250314
513	148706	249965
514	148961	249619
515	149219	249277
516	149513	248996
517	149760	248637
518	150024	248307
519	150275	247954
520	150561	247660
521	150813	247310
522	151081	246988
523	151338	246647
524	151626	246357
525	151878	246009
526	152146	245686
527	152394	245331
528	152678	245036
529	152952	244724
530	153215	244394
531	153461	244038
532	153746	243744
533	153999	243400
534	154268	243080
535	154519	242733
536	154833	242485
537	155089	242147
538	155355	241823
539	155641	241531
540	155895	241191
541	156182	240901
542	156435	240559
543	156717	240262
544	156982	239937
545	157248	239617
546	157497	239269
547	157790	238988
548	158046	238652
549	158326	238353
550	158580	238014
551	158878	237741
552	159129	237399
553	159391	237073
554	159647	236738
555	159939	236457
556	160187	236111
557	160457	235797
558	160711	235460
559	161000	235176
560	161255	234840
561	161530	234536
562	161810	234237
563	162064	233901
564	162316	233564
565	162580	233242
566	162854	232936
567	163103	232594
568	163348	232248
569	163628	231950
570	163919	231668
571	164186	231353
572	164466	231057
573	164737	230747
574	165048	230493
575	165301	230159
576	165575	229854
577	165833	229528
578	166127	229250
579	166389	228929
580	166677	228643
581	166965	228358
582	167220	228028
583	167473	227695
584	167742	227384
585	168026	227093
586	168278	226760
587	168541	226442
588	168798	226115
589	169093	225839
590	169345	225506
591	169618	225202
592	169869	224869
593	170154	224580
594	170405	224247
595	170675	223939
596	170922	223602
597	171200	223305
598	171446	222965
599	171707	222647
600	171954	222311
601	172232	222013
602	172478	221676
603	172743	221363
604	172993	221030
605	173296	220767
606	173550	220440
607	173829	220145
608	174091	219829
609	174381	219549
610	174631	219217
611	174901	218912
612	175154	218586
613	175444	218305
614	175709	217994
615	175994	217707
616	176294	217439
